time,away,score,home,
19:40,,0-2,Jaylen Brown made Layup. Assisted by Tyrone Wallace.,1
19:24,,0-2,Foul on Jordan Mathews.,1
19:24,B.J. Tyson made Free Throw.,1-2,,1
19:24,B.J. Tyson missed Free Throw.,1-2,,1
19:24,,1-2,Jaylen Brown Defensive Rebound.,1
19:17,,1-5,Jordan Mathews made Three Point Jumper. Assisted by Jaylen Brown.,1
18:52,Prince Williams missed Jumper.,1-5,,1
18:52,B.J. Tyson Offensive Rebound.,1-5,,1
18:38,Michael Zangari missed Three Point Jumper.,1-5,,1
18:38,Prince Williams Offensive Rebound.,1-5,,1
18:26,,1-5,Foul on Tyrone Wallace.,1
18:23,Caleb White missed Jumper.,1-5,,1
18:23,Michael Zangari Offensive Rebound.,1-5,,1
18:17,Michael Zangari Turnover.,1-5,,1
18:02,,1-5,Tyrone Wallace missed Three Point Jumper.,1
18:02,Caleb White Defensive Rebound.,1-5,,1
17:50,B.J. Tyson missed Jumper.,1-5,,1
17:50,,1-5,Ivan Rabb Defensive Rebound.,1
17:40,Foul on Michel Nzege.,1-5,,1
17:35,Foul on Michel Nzege.,1-5,,1
17:35,,1-5,Jaylen Brown missed Free Throw.,1
17:35,,1-5,California Deadball Team Rebound.,1
17:35,,1-6,Jaylen Brown made Free Throw.,1
17:18,Michael Zangari missed Dunk.,1-6,,1
17:17,,1-6,Ivan Rabb Block.,1
17:17,East Carolina Offensive Rebound.,1-6,,1
17:03,B.J. Tyson missed Jumper.,1-6,,1
17:03,,1-6,California Deadball Team Rebound.,1
16:49,,1-6,Jaylen Brown missed Three Point Jumper.,1
16:49,,1-6,Jordan Mathews Offensive Rebound.,1
16:28,,1-8,Ivan Rabb made Layup. Assisted by Sam Singer.,1
16:04,Caleb White Turnover.,1-8,,1
15:58,,1-8,Sam Singer Turnover.,1
15:53,Foul on Caleb White.,1-8,,1
15:53,Caleb White Turnover.,1-8,,1
15:52,Official TV Timeout,,,1
15:37,,1-8,Sam Singer missed Three Point Jumper.,1
15:37,Prince Williams Defensive Rebound.,1-8,,1
15:24,Caleb White missed Jumper.,1-8,,1
15:24,,1-8,Jaylen Brown Defensive Rebound.,1
15:20,Foul on Clarence Williams.,1-8,,1
15:12,,1-8,Jordan Mathews missed Three Point Jumper.,1
15:12,Clarence Williams Defensive Rebound.,1-8,,1
15:00,Clarence Williams missed Jumper.,1-8,,1
15:00,,1-8,Sam Singer Defensive Rebound.,1
14:35,,1-8,Ivan Rabb missed Jumper.,1
14:35,Michael Zangari Defensive Rebound.,1-8,,1
14:26,Prince Williams missed Layup.,1-8,,1
14:26,,1-8,Ivan Rabb Defensive Rebound.,1
14:07,,1-8,Jordan Mathews Turnover.,1
13:48,Michael Zangari made Three Point Jumper. Assisted by Prince Williams.,4-8,,1
13:32,,4-8,Tyrone Wallace Turnover.,1
13:29,Michael Zangari Steal.,4-8,,1
13:26,B.J. Tyson missed Jumper.,4-8,,1
13:26,Kentrell Barkley Offensive Rebound.,4-8,,1
13:11,Caleb White made Layup.,6-8,,1
12:42,,6-8,Tyrone Wallace missed Three Point Jumper.,1
12:42,,6-8,Jaylen Brown Offensive Rebound.,1
12:36,,6-8,Jaylen Brown missed Jumper.,1
12:36,Lance Tejada Defensive Rebound.,6-8,,1
12:25,Kentrell Barkley made Three Point Jumper. Assisted by Lance Tejada.,9-8,,1
12:13,,9-8,Jaylen Brown missed Jumper.,1
12:13,,9-8,California Deadball Team Rebound.,1
12:08,Foul on Caleb White.,9-8,,1
12:01,,9-8,Jordan Mathews missed Layup.,1
12:01,,9-8,Jordan Mathews Offensive Rebound.,1
11:58,,9-8,Jordan Mathews Turnover.,1
11:58,Official TV Timeout,,,1
11:34,B.J. Tyson missed Jumper.,9-8,,1
11:34,East Carolina Offensive Rebound.,9-8,,1
11:12,Kentrell Barkley Turnover.,9-8,,1
11:02,,9-8,Tyrone Wallace Turnover.,1
10:53,B.J. Tyson made Layup.,11-8,,1
10:33,,11-11,Tyrone Wallace made Three Point Jumper. Assisted by Ivan Rabb.,1
9:59,Michael Zangari missed Three Point Jumper.,11-11,,1
9:59,,11-11,Jaylen Brown Defensive Rebound.,1
9:51,Foul on Kentrell Barkley.,11-11,,1
9:51,,11-12,Ivan Rabb made Free Throw.,1
9:51,,11-13,Ivan Rabb made Free Throw.,1
9:28,Kentrell Barkley missed Layup.,11-13,,1
9:28,,11-13,Ivan Rabb Block.,1
9:26,,11-13,Ivan Rabb Defensive Rebound.,1
9:18,,11-13,Jabari Bird missed Layup.,1
9:18,,11-13,Ivan Rabb Offensive Rebound.,1
9:15,,11-15,Ivan Rabb made Two Point Tip Shot.,1
8:50,,11-15,Foul on Jaylen Brown.,1
8:50,B.J. Tyson made Free Throw.,12-15,,1
8:50,B.J. Tyson made Free Throw.,13-15,,1
8:25,,13-15,Ivan Rabb Turnover.,1
7:59,Kanu Aja missed Jumper.,13-15,,1
7:59,,13-15,Tyrone Wallace Defensive Rebound.,1
7:57,Foul on Michel Nzege.,13-15,,1
7:57,Official TV Timeout,,,1
7:57,,13-15,Jordan Mathews missed Free Throw.,1
7:57,Clarence Williams Defensive Rebound.,13-15,,1
7:48,Prince Williams made Jumper.,15-15,,1
7:23,,15-15,Sam Singer Turnover.,1
6:56,Foul on Clarence Williams.,15-15,,1
6:56,Clarence Williams Turnover.,15-15,,1
6:50,,15-17,Jaylen Brown made Layup. Assisted by Stephen Domingo.,1
6:24,Foul on Michael Zangari.,15-17,,1
6:24,Michael Zangari Turnover.,15-17,,1
6:16,,15-19,Jabari Bird made Layup. Assisted by Jaylen Brown.,1
5:42,Caleb White made Layup.,17-19,,1
5:23,,17-19,Stephen Domingo missed Three Point Jumper.,1
5:23,,17-19,Jabari Bird Offensive Rebound.,1
5:18,,17-19,Jabari Bird Turnover.,1
5:07,,17-19,Foul on Jabari Bird.,1
4:58,Michael Zangari missed Jumper.,17-19,,1
4:58,,17-19,Ivan Rabb Defensive Rebound.,1
4:50,Foul on Michael Zangari.,17-19,,1
4:50,,17-19,Jaylen Brown missed Free Throw.,1
4:50,,17-19,California Deadball Team Rebound.,1
4:50,,17-20,Jaylen Brown made Free Throw.,1
4:37,,17-20,Foul on Jabari Bird.,1
4:22,Deng Riak missed Three Point Jumper.,17-20,,1
4:22,,17-20,Ivan Rabb Block.,1
4:19,Caleb White Offensive Rebound.,17-20,,1
4:14,Prince Williams Turnover.,17-20,,1
3:50,Foul on Deng Riak.,17-20,,1
3:50,Official TV Timeout,,,1
3:50,,17-21,Jordan Mathews made Free Throw.,1
3:50,,17-22,Jordan Mathews made Free Throw.,1
3:50,,17-23,Jordan Mathews made Free Throw.,1
